timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-lvdk6_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-s5dnq_cpu,reviews-v2-7b4f9d8cb4-rgbs6_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-7b4f9d8cb4-b2t64_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-lvdk6_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-s5dnq_memory,reviews-v2-7b4f9d8cb4-rgbs6_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-7b4f9d8cb4-b2t64_memory,reviews-v1-7b76c4f45d-s5dnq_network,reviews-v2-7b4f9d8cb4-b2t64_network,productpage-v1-7fb564989f-lvdk6_network,details-v1-b788479c5-bbg6t_network,ratings-v1-5b6b66f9b5-7bln6_network,reviews-v3-5fd56449d8-tv4wp_network,reviews-v2-7b4f9d8cb4-rgbs6_network
2024-03-07 10:59:02,5.114351966661464,56.907569900007125,0.863347099997706,2.49808046666639,5.485810800000006,0.3754729666676818,-1.0,24.9856,57.09824,12.77952,94.273536,127.6928,637.72672,-1.0,27.040000000000003,-1.0,10622.737777777777,44.44444444444445,16.537777777777777,216.08999999999997,223.00444444444446
2024-03-07 10:59:07,5.114351966661464,56.907569900007125,0.863347099997706,2.49808046666639,5.485810800000006,0.3754729666676818,-1.0,24.9856,57.09824,12.77952,94.273536,127.6928,637.72672,-1.0,27.040000000000003,-1.0,10622.737777777777,44.44444444444445,16.537777777777777,216.08999999999997,223.00444444444446
2024-03-07 10:59:12,5.114351966661464,56.907569900007125,0.863347099997706,2.49808046666639,5.485810800000006,0.3754729666676818,-1.0,24.9856,57.09824,12.77952,94.273536,127.6928,637.72672,-1.0,27.040000000000003,-1.0,10622.737777777777,44.44444444444445,16.537777777777777,216.08999999999997,223.00444444444446
2024-03-07 10:59:17,3.156191733326827,23.364996433338096,1.0806467666687545,2.49808046666639,5.485810800000006,0.3754729666676818,-1.0,24.9856,57.212928,12.640256,94.273536,127.6928,637.72672,-1.0,27.040000000000003,-1.0,6352.090000000003,144.00000000000006,62.41000000000003,216.08999999999997,223.00444444444446
2024-03-07 10:59:22,3.156191733326827,23.364996433338096,1.0806467666687545,2.49808046666639,5.485810800000006,0.3754729666676818,-1.0,24.9856,57.212928,12.640256,94.273536,127.6928,637.72672,-1.0,27.040000000000003,-1.0,6352.090000000003,144.00000000000006,62.41000000000003,216.08999999999997,223.00444444444446
2024-03-07 10:59:27,3.156191733326826,23.364996433338092,1.0806467666687543,2.202935900000587,6.067078699999229,0.26309506665711524,-1.0,24.9856,57.212928,12.640256,94.273536,127.85664,637.72672,-1.0,37.209999999999994,-1.0,6352.09,144.0,62.410000000000004,402.6711111111111,126.9377777777778
2024-03-07 10:59:32,3.156191733326826,23.364996433338092,1.0806467666687543,2.202935900000587,6.067078699999229,0.26309506665711524,-1.0,24.9856,57.212928,12.640256,94.273536,127.85664,637.72672,-1.0,37.209999999999994,-1.0,6352.09,144.0,62.410000000000004,402.6711111111111,126.9377777777778
2024-03-07 10:59:37,3.156191733326826,23.364996433338092,1.0806467666687543,2.202935900000587,6.067078699999229,0.26309506665711524,-1.0,24.9856,57.212928,12.640256,94.273536,127.85664,637.72672,-1.0,37.209999999999994,-1.0,6352.09,144.0,62.410000000000004,402.6711111111111,126.9377777777778
2024-03-07 10:59:42,3.156191733326826,23.364996433338092,1.0806467666687543,2.202935900000587,6.067078699999229,0.26309506665711524,-1.0,24.9856,57.212928,12.640256,94.273536,127.85664,637.72672,-1.0,37.209999999999994,-1.0,6352.09,144.0,62.410000000000004,402.6711111111111,126.9377777777778
2024-03-07 10:59:47,7.067295437126628,49.790475752430005,1.0251521181196546,2.202935900000587,6.067078699999229,0.26309506665711524,-1.0,24.9856,57.212928,12.541952,94.273536,127.85664,637.72672,-1.0,37.209999999999994,-1.0,5534.253094038662,93.42575835851517,55.243395212967904,402.6711111111111,126.9377777777778
2024-03-07 10:59:52,7.067295437126628,49.790475752430005,1.0251521181196546,2.202935900000587,6.067078699999229,0.26309506665711524,-1.0,24.9856,57.212928,12.541952,94.273536,127.85664,637.72672,-1.0,37.209999999999994,-1.0,5534.253094038662,93.42575835851517,55.243395212967904,402.6711111111111,126.9377777777778
2024-03-07 10:59:57,7.067295437126627,49.79047575243,1.0251521181196546,2.722381366666582,5.591575100000531,0.3296498000054271,-1.0,24.9856,57.212928,12.541952,94.273536,128.02048,637.72672,-1.0,36.401111111111106,-1.0,5534.2530940386605,93.42575835851514,55.24339521296789,563.2711111111112,169.0
