timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-xslvc_cpu,productpage-v1-7fb564989f-bs9s5_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-phxww_cpu,reviews-v2-7b4f9d8cb4-prbfv_cpu,reviews-v3-5fd56449d8-npw75_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-xslvc_memory,productpage-v1-7fb564989f-bs9s5_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-phxww_memory,reviews-v2-7b4f9d8cb4-prbfv_memory,reviews-v3-5fd56449d8-npw75_memory,reviews-v3-5fd56449d8-npw75_network,productpage-v1-7fb564989f-xslvc_network,reviews-v1-7b76c4f45d-phxww_network,details-v1-b788479c5-bbg6t_network,productpage-v1-7fb564989f-bs9s5_network,ratings-v1-5b6b66f9b5-7bln6_network,reviews-v2-7b4f9d8cb4-prbfv_network
2024-03-11 01:38:04,9.021447466663329,54.6646772999992,-1.0,1.7019193333302003,2.565741366666903,5.193831333333303,4.750649066666787,25.178112,53.563392,-1.0,14.209024,82.382848,180.707328,178.91328,141.61,3162.1877777777777,8.41,184.05444444444444,-1.0,71.68444444444445,160.44444444444443
2024-03-11 01:38:09,7.4590397333243645,54.6646772999992,-1.0,1.725982633335358,2.565741366666903,5.193831333333303,4.750649066666787,25.178112,53.563392,-1.0,14.647296,82.382848,180.707328,178.91328,141.61,3162.1877777777777,8.41,299.29,-1.0,75.68999999999998,160.44444444444443
2024-03-11 01:38:14,7.4590397333243645,54.6646772999992,-1.0,1.725982633335358,2.565741366666903,5.193831333333303,4.750649066666787,25.178112,53.563392,-1.0,14.647296,82.382848,180.707328,178.91328,141.61,3162.1877777777777,8.41,299.29,-1.0,75.68999999999998,160.44444444444443
2024-03-11 01:38:19,7.4590397333243645,54.6646772999992,-1.0,1.725982633335358,2.565741366666903,5.193831333333303,4.750649066666787,25.178112,53.563392,-1.0,14.647296,82.382848,180.707328,178.91328,141.61,3162.1877777777777,8.41,299.29,-1.0,75.68999999999998,160.44444444444443
2024-03-11 01:38:24,7.4590397333243645,54.6646772999992,-1.0,1.725982633335358,2.565741366666903,5.193831333333303,4.750649066666787,25.178112,53.563392,-1.0,14.647296,82.382848,180.707328,178.91328,141.61,3162.1877777777777,8.41,299.29,-1.0,75.68999999999998,160.44444444444443
2024-03-11 01:38:29,7.4590397333243645,57.651999500000294,-1.0,1.725982633335358,1.5110809666666114,5.35273446666622,4.865611333333201,25.178112,53.481472,-1.0,14.647296,82.382848,180.862976,179.044352,63.467777777777776,4928.04,49.467777777777776,299.29,-1.0,75.68999999999998,137.6711111111111
2024-03-11 01:38:34,7.4590397333243645,57.651999500000294,-1.0,1.725982633335358,1.5110809666666114,5.35273446666622,4.865611333333201,25.178112,53.481472,-1.0,14.647296,82.382848,180.862976,179.044352,63.467777777777776,4928.04,49.467777777777776,299.29,-1.0,75.68999999999998,137.6711111111111
2024-03-11 01:38:39,7.729461166672991,57.651999500000294,-1.0,1.9159989333312901,1.5110809666666114,5.35273446666622,4.865611333333201,25.161728,53.481472,-1.0,14.987264,82.382848,180.862976,179.044352,63.467777777777776,4928.04,49.467777777777776,138.45444444444448,-1.0,147.21777777777777,137.6711111111111
2024-03-11 01:38:44,7.729461166672991,57.651999500000294,-1.0,1.9159989333312901,1.5110809666666114,5.35273446666622,4.865611333333201,25.161728,53.481472,-1.0,14.987264,82.382848,180.862976,179.044352,63.467777777777776,4928.04,49.467777777777776,138.45444444444448,-1.0,147.21777777777777,137.6711111111111
2024-03-11 01:38:49,7.729461166672991,57.651999500000294,-1.0,1.9159989333312901,1.5110809666666114,5.35273446666622,4.865611333333201,25.161728,53.481472,-1.0,14.987264,82.382848,180.862976,179.044352,63.467777777777776,4928.04,49.467777777777776,138.45444444444448,-1.0,147.21777777777777,137.6711111111111
