timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-lvdk6_cpu,ratings-v1-5b6b66f9b5-kxp66_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-x9mxc_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-6ccf99c555-fqvhb_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-lvdk6_memory,ratings-v1-5b6b66f9b5-kxp66_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-x9mxc_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-6ccf99c555-fqvhb_memory,reviews-v1-7b76c4f45d-x9mxc_network,reviews-v2-6ccf99c555-fqvhb_network,productpage-v1-7fb564989f-lvdk6_network,ratings-v1-5b6b66f9b5-7bln6_network,reviews-v3-5fd56449d8-tv4wp_network,ratings-v1-5b6b66f9b5-kxp66_network,details-v1-b788479c5-bbg6t_network
2024-03-06 05:45:04,4.8135993666771055,39.762354133335975,-1.0,1.543909066667008,1.7249592333333414,4.299397699999948,4.172851933333277,24.305664,55.762944,-1.0,7.8848,84.922368,384.827392,380.915712,26.694444444444446,192.28444444444446,3279.471111111111,34.02777777777777,183.1511111111111,-1.0,149.65444444444444
2024-03-06 05:45:09,4.8135993666771055,39.762354133335975,-1.0,1.543909066667008,1.7249592333333414,4.299397699999948,4.172851933333277,24.305664,55.762944,-1.0,7.8848,84.922368,384.827392,380.915712,26.694444444444446,192.28444444444446,3279.471111111111,34.02777777777777,183.1511111111111,-1.0,149.65444444444444
2024-03-06 05:45:14,4.8135993666771055,39.762354133335975,-1.0,1.543909066667008,1.7249592333333414,4.299397699999948,4.172851933333277,24.305664,55.762944,-1.0,7.8848,84.922368,384.827392,380.915712,26.694444444444446,192.28444444444446,3279.471111111111,34.02777777777777,183.1511111111111,-1.0,149.65444444444444
2024-03-06 05:45:19,4.375395866660862,43.767922899996854,-1.0,1.4052806666673712,1.7249592333333414,4.299397699999948,5.201197900000428,24.305664,55.877632,-1.0,8.192,84.922368,384.827392,381.0304,26.694444444444446,72.25,3492.8100000000018,109.55111111111115,183.1511111111111,-1.0,52.80444444444447
2024-03-06 05:45:24,4.375395866660861,43.76792289999685,-1.0,1.405280666667371,1.9050232333332435,4.838426566666007,5.201197900000428,24.305664,55.877632,-1.0,8.192,84.922368,386.023424,381.0304,8.801111111111112,72.25,3492.81,109.55111111111111,127.69000000000001,-1.0,52.80444444444444
2024-03-06 05:45:29,4.375395866660861,43.76792289999685,-1.0,1.405280666667371,1.9050232333332435,4.838426566666007,5.201197900000428,24.305664,55.877632,-1.0,8.192,84.922368,386.023424,381.0304,8.801111111111112,72.25,3492.81,109.55111111111111,127.69000000000001,-1.0,52.80444444444444
2024-03-06 05:45:34,4.375395866660861,43.76792289999685,-1.0,1.405280666667371,1.9050232333332435,4.838426566666007,5.201197900000428,24.305664,55.877632,-1.0,8.192,84.922368,386.023424,381.0304,8.801111111111112,72.25,3492.81,109.55111111111111,127.69000000000001,-1.0,52.80444444444444
2024-03-06 05:45:39,4.375395866660861,43.76792289999685,-1.0,1.405280666667371,1.9050232333332435,4.838426566666007,5.201197900000428,24.305664,55.877632,-1.0,8.192,84.922368,386.023424,381.0304,8.801111111111112,72.25,3492.81,109.55111111111111,127.69000000000001,-1.0,52.80444444444444
2024-03-06 05:45:44,4.375395866660861,43.76792289999685,-1.0,1.405280666667371,1.9050232333332435,4.838426566666007,5.201197900000428,24.305664,55.877632,-1.0,8.192,84.922368,386.023424,381.0304,8.801111111111112,72.25,3492.81,109.55111111111111,127.69000000000001,-1.0,52.80444444444444
2024-03-06 05:45:49,5.639125266664754,51.790418233334414,-1.0,1.5632276000000431,1.9050232333332435,4.838426566666007,3.4298020333343024,24.322048,55.861248,-1.0,7.733248,84.922368,386.023424,381.181952,8.801111111111112,253.8711111111111,4360.401111111113,61.361111111111136,127.69000000000001,-1.0,222.0100000000001
