timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-lvdk6_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-2n2qx_cpu,reviews-v1-7b76c4f45d-s5dnq_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-6ccf99c555-fqvhb_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-lvdk6_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-2n2qx_memory,reviews-v1-7b76c4f45d-s5dnq_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-6ccf99c555-fqvhb_memory,reviews-v1-7b76c4f45d-s5dnq_network,reviews-v1-7b76c4f45d-2n2qx_network,productpage-v1-7fb564989f-lvdk6_network,ratings-v1-5b6b66f9b5-7bln6_network,reviews-v2-6ccf99c555-fqvhb_network,details-v1-b788479c5-bbg6t_network,reviews-v3-5fd56449d8-tv4wp_network
2024-03-06 17:37:01,4.094542833324037,45.54514796667111,1.2296233666650855,-1.0,1.693591999999929,5.276278633330852,4.453526499999802,24.670208,56.594432,10.32192,-1.0,83.365888,533.38112,494.637056,22.090000000000003,-1.0,5730.490000000001,140.0277777777778,118.81,210.25,44.001111111111115
2024-03-06 17:37:06,4.094542833324037,45.54514796667111,1.2296233666650855,-1.0,1.693591999999929,5.276278633330852,4.453526499999802,24.670208,56.594432,10.32192,-1.0,83.365888,533.38112,494.637056,22.090000000000003,-1.0,5730.490000000001,140.0277777777778,118.81,210.25,44.001111111111115
2024-03-06 17:37:11,4.094542833324037,45.54514796667111,1.2296233666650855,-1.0,1.693591999999929,5.276278633330852,4.453526499999802,24.670208,56.594432,10.32192,-1.0,83.365888,533.38112,494.637056,22.090000000000003,-1.0,5730.490000000001,140.0277777777778,118.81,210.25,44.001111111111115
2024-03-06 17:37:16,6.672448533345235,59.934560633337256,1.3232981000025275,-1.0,1.693591999999929,5.276278633330852,4.453526499999802,24.670208,56.594432,9.539584,-1.0,83.365888,533.38112,494.637056,22.090000000000003,-1.0,3445.690000000002,50.884444444444476,118.81,159.60111111111115,44.001111111111115
2024-03-06 17:37:21,6.672448533345235,59.934560633337256,1.3232981000025275,-1.0,1.693591999999929,5.276278633330852,1.9177020333358996,24.670208,56.594432,9.539584,-1.0,83.365888,533.38112,494.727168,22.090000000000003,-1.0,3445.690000000002,50.884444444444476,133.01777777777778,159.60111111111115,44.001111111111115
2024-03-06 17:37:26,6.672448533345232,59.93456063333724,1.3232981000025272,-1.0,2.5464551666665614,5.079965633334875,1.9177020333358996,24.670208,56.594432,9.539584,-1.0,83.365888,533.557248,494.727168,43.121111111111105,-1.0,3445.6900000000005,50.88444444444445,133.01777777777778,159.6011111111111,144.0
2024-03-06 17:37:31,6.672448533345232,59.93456063333724,1.3232981000025272,-1.0,2.5464551666665614,5.079965633334875,1.9177020333358996,24.670208,56.594432,9.539584,-1.0,83.365888,533.557248,494.727168,43.121111111111105,-1.0,3445.6900000000005,50.88444444444445,133.01777777777778,159.6011111111111,144.0
2024-03-06 17:37:36,6.672448533345232,59.93456063333724,1.3232981000025272,-1.0,2.5464551666665614,5.079965633334875,1.9177020333358996,24.670208,56.594432,9.539584,-1.0,83.365888,533.557248,494.727168,43.121111111111105,-1.0,3445.6900000000005,50.88444444444445,133.01777777777778,159.6011111111111,144.0
2024-03-06 17:37:41,6.672448533345232,59.93456063333724,1.3232981000025272,-1.0,2.5464551666665614,5.079965633334875,1.9177020333358996,24.670208,56.594432,9.539584,-1.0,83.365888,533.557248,494.727168,43.121111111111105,-1.0,3445.6900000000005,50.88444444444445,133.01777777777778,159.6011111111111,144.0
2024-03-06 17:37:46,4.706887899995612,42.10553979999835,1.6422738666657708,-1.0,2.5464551666665614,5.079965633334875,1.9177020333358996,24.670208,56.578048,10.088448,-1.0,83.365888,533.557248,494.727168,43.121111111111105,-1.0,3672.360000000002,90.88444444444447,133.01777777777778,43.56000000000003,144.0
