,timestamp,redis-cart-74594bd569-lssn4&cpu_usage,redis-cart-74594bd569-lssn4&cpu_limit,redis-cart-74594bd569-lssn4&mem_usage,redis-cart-74594bd569-lssn4&mem_usage_rate,redis-cart-74594bd569-lssn4&fs_usage,redis-cart-74594bd569-lssn4&net_receive,redis-cart-74594bd569-lssn4&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658540446,0.059543454,0.125,186.1640625,2.644615545,0.0,16.86300274,12.34419517,0.8246666666666667,0.0979703909192898,0.2235636127640921
1,1658540451,0.059809219,0.125,186.1640625,3.576864334,0.0,17.6157121,12.8769067,0.816,0.1010805306481282,0.223603506548258
2,1658540456,0.057851213,0.125,186.1640625,3.726798254,0.0,17.6157121,12.8769067,0.816,0.1010805306481282,0.223603506548258
3,1658540461,0.057227782,0.125,186.1640625,3.726476058,0.0,17.6157121,12.8769067,0.816,0.1010805306481282,0.223603506548258
4,1658540466,0.076838947,0.125,185.203125,2.682578915,0.0,14.81536471,11.0017931,0.8100222222222221,0.101245951717744,0.2235916052062542
5,1658540471,0.080303528,0.125,185.203125,0.955391304,0.0,17.26338849,12.46481067,0.8100222222222221,0.101245951717744,0.2235916052062542
6,1658540476,0.078394578,0.125,185.328125,1.199159102,0.0,17.26338849,12.46481067,0.8100222222222221,0.101245951717744,0.2235916052062542
7,1658540481,0.079999832,0.125,185.328125,0.884596367,0.0,16.99650594,12.14761551,0.8052444444444444,0.1015130090495962,0.2237156584803042
8,1658540486,0.078285962,0.125,184.140625,3.269100488,0.0,16.56394815,11.86987348,0.8052444444444444,0.1015130090495962,0.2237156584803042
9,1658540491,0.076291111,0.125,184.015625,4.059012273,0.0,16.56394815,11.86987348,0.8052444444444444,0.1015130090495962,0.2237156584803042
10,1658540496,0.078564498,0.125,184.015625,4.156437966,0.0,15.92787645,11.21124466,0.8009777777777778,0.0991842053082772,0.2237418900096188
