timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-fzl6h_cpu,productpage-v1-7fb564989f-hm9g2_cpu,ratings-v1-5b6b66f9b5-n4ddg_cpu,reviews-v1-7b76c4f45d-x9mxc_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-6ccf99c555-fqvhb_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-fzl6h_memory,productpage-v1-7fb564989f-hm9g2_memory,ratings-v1-5b6b66f9b5-n4ddg_memory,reviews-v1-7b76c4f45d-x9mxc_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-6ccf99c555-fqvhb_memory,productpage-v1-7fb564989f-hm9g2_network,productpage-v1-7fb564989f-fzl6h_network,reviews-v2-6ccf99c555-fqvhb_network,details-v1-b788479c5-bbg6t_network,reviews-v1-7b76c4f45d-x9mxc_network,ratings-v1-5b6b66f9b5-n4ddg_network,reviews-v3-5fd56449d8-tv4wp_network
2024-03-05 16:45:01,6.8542826333365765,-1.0,58.89557563332346,2.112638533333211,2.5529232000001416,4.45022539999987,4.766500400000003,18.395136,-1.0,53.784576,13.058048,87.764992,231.309312,218.84928,5540.321111111111,-1.0,73.96,54.26777777777777,49.467777777777776,102.00999999999999,46.69444444444444
2024-03-05 16:45:06,5.359329633332283,-1.0,39.85543376667616,2.112638533333211,2.5529232000001416,4.45022539999987,4.766500400000003,18.395136,-1.0,53.899264,13.058048,87.764992,231.309312,218.84928,2391.209999999999,-1.0,73.96,161.28999999999994,49.467777777777776,102.00999999999999,46.69444444444444
2024-03-05 16:45:11,5.359329633332284,-1.0,39.85543376667617,2.112638533333211,2.5529232000001416,4.45022539999987,5.171320666666664,18.395136,-1.0,53.899264,13.058048,87.764992,231.309312,218.927104,2391.21,-1.0,147.21777777777777,161.29,49.467777777777776,102.00999999999999,46.69444444444444
2024-03-05 16:45:16,5.359329633332284,-1.0,39.85543376667617,2.112638533333211,2.5529232000001416,4.45022539999987,5.171320666666664,18.395136,-1.0,53.899264,13.058048,87.764992,231.309312,218.927104,2391.21,-1.0,147.21777777777777,161.29,49.467777777777776,102.00999999999999,46.69444444444444
2024-03-05 16:45:21,5.359329633332284,-1.0,39.85543376667617,2.112638533333211,2.5529232000001416,4.45022539999987,5.171320666666664,18.395136,-1.0,53.899264,13.058048,87.764992,231.309312,218.927104,2391.21,-1.0,147.21777777777777,161.29,49.467777777777776,102.00999999999999,46.69444444444444
2024-03-05 16:45:26,5.359329633332284,-1.0,39.85543376667617,2.112638533333211,2.5529232000001416,4.45022539999987,5.171320666666664,18.395136,-1.0,53.899264,13.058048,87.764992,231.309312,218.927104,2391.21,-1.0,147.21777777777777,161.29,49.467777777777776,102.00999999999999,46.69444444444444
2024-03-05 16:45:31,5.359329633332284,-1.0,39.85543376667617,1.500534766666798,2.119422499999738,6.383789666667401,5.171320666666664,18.395136,-1.0,53.899264,13.205504,87.764992,231.309312,218.927104,2391.21,-1.0,147.21777777777777,161.29,50.88444444444445,19.360000000000003,228.01
2024-03-05 16:45:36,7.191723866662868,-1.0,43.74115889998696,1.500534766666798,2.119422499999738,6.383789666667401,5.171320666666664,18.395136,-1.0,53.915648,13.205504,87.764992,231.309312,218.927104,3102.4899999999993,-1.0,147.21777777777777,126.18777777777773,50.88444444444445,19.360000000000003,228.01
2024-03-05 16:45:41,7.191723866662869,-1.0,43.741158899986964,1.500534766666798,2.119422499999738,6.383789666667401,3.1771353666660693,18.395136,-1.0,53.915648,13.205504,87.764992,231.309312,219.017216,3102.4900000000002,-1.0,147.21777777777777,126.18777777777775,50.88444444444445,19.360000000000003,228.01
2024-03-05 16:45:46,7.191723866662869,-1.0,43.741158899986964,1.500534766666798,2.119422499999738,6.383789666667401,3.1771353666660693,18.395136,-1.0,53.915648,13.205504,87.764992,231.309312,219.017216,3102.4900000000002,-1.0,147.21777777777777,126.18777777777775,50.88444444444445,19.360000000000003,228.01
